Resort ID,Resort,Country,Peak Elevation (m)
1,Red Mountain,Canada,2075
2,Arapahoe Basin,United States,3790
3,Panorama,Canada,2365
4,Jackson Hole,United States,3185
5,Crested Butte,United States,3707
6,Park City,United States,3049
7,Mt. Rose,United States,2957
8,Sun Peaks,Canada,2082
9,Fernie,Canada,2134
10,Mt. Baker,United States,1525
11,Wenatchee-Mission Ridge,United States,2078
12,Steamboat,United States,3221
13,Mount Washington,Canada,1588
14,Kicking Horse,Canada,2450
15,Mt. Bachelor,United States,2763
16,Northstar California,United States,2624
17,Schweitzer Mountain,United States,1950
18,Heavenly,United States,3060
19,Big White,Canada,2285
20,Loveland,United States,3871
21,Stratton,United States,1181
22,Whistler,Canada,2284
23,Bald Mountain-Sun Valley,United States,2788
24,Winter Park Resort,United States,3676
25,Alta,United States,3215
26,Aspen Mountain,United States,3418
27,Aspen Highlands,United States,3559
28,Squaw Valley,United States,2760
29,Vail,United States,3433
30,Snowbasin,United States,2850
31,Beaver Creek,United States,3488
32,Breckenridge,United States,3914
33,Whitefish Mountain,United States,2078
34,Mt. Hood Meadows,United States,2225
35,Sugar Bowl,United States,2555
36,Mammoth Mountain,United States,3369
37,Telluride,United States,3815
38,Big Sky,United States,3398
39,Snowmass,United States,3813
40,Lake Louise,Canada,2637
41,Powder Mountain,United States,2712
42,Keystone,United States,3651
43,Killington,United States,1285
44,Copper Mountain,United States,3767
45,Sugarloaf,United States,1286
46,Silver Star,Canada,1915
47,Taos,United States,3795
48,Snowbird,United States,3353
49,Sugarbush,United States,1240
50,Marmot Basin-Jasper,Canada,2410
51,Purgatory-Durango,United States,3299
52,Sunday River,United States,957
53,Kimberley,Canada,1982
54,Great Divide,United States,2205
55,Mont Tremblant,Canada,875
56,Smugglers' Notch,United States,1112
57,Jay Peak,United States,1175
58,Angel Fire,United States,3256
59,Bridger Bowl-Bozeman,United States,2682
60,Brian Head,United States,3328
61,Stowe,United States,1116
62,Okemo,United States,1019
63,Mont-Sainte-Anne-Beaupre,Canada,800
64,49 Degrees North,United States,1760
65,Bear Valley,United States,2590
66,Apex,Canada,2180
67,Mt. Hood Skibowl,United States,1510
68,Brighton,United States,3200
69,Kirkwood,United States,2987
70,Red Lodge,United States,2870
71,Solitude,United States,3000
72,Ayeska-Girdwood,United States,840
73,Mount Snow,United States,1095
74,Gore Mountain,United States,1097
75,Bretton Woods,United States,945
76,Revelstoke,Canada,2225
77,Apache,United States,3475
78,Eldora Mountain,United States,3292
79,Donner Ski Ranch,United States,2371
80,Cypress,Canada,1440
81,Whiteface-Lake Placid,United States,1340
82,The Summit at Snoqualmie,United States,1180
83,Tamarack,United States,2347
84,Summit Ski Area at Mt. Hood,United States,1312
85,Bolton Valley,United States,960
86,Montage Mountain Resort,United States,594
87,Sandia Peak,United States,2630
88,Crystal Mountain-Washinton,United States,2137
89,Stevens Pass,United States,1750
90,Loon Mountain,United States,930
91,Le Massif,Canada,806
92,Bluewood Ski Area,United States,1724
93,Silver Mountain-Idaho,United States,1919
94,Mt. Spokane,United States,1795
95,Mt. Rose Ski Tahoe,United States,2955
96,Mad River Glen,United States,1109
97,Wolf Creek,United States,3628
98,Grand Targhee,United States,3006
99,White Pine,United States,2896
100,Homewood Mountain,United States,2402
