Resort_ID,Resort,Country,Run_Count,,
1,Red Mountain,Canada,120,,
2,Arapahoe Basin,United States,105,,
3,Panorama,Canada,100,,
4,Jackson Hole,United States,116,,
5,Crested Butte,United States,121,,
6,Park City,United States,250,,
7,Mt. Rose,United States,100,,
8,Sun Peaks,Canada,134,,
9,Fernie,Canada,142,,
10,Mt. Baker,United States,100,,
11,Wenatchee-Mission Ridge,United States,100,,
12,Steamboat,United States,165,,
13,Mount Washington,Canada,60,,
14,Kicking Horse,Canada,100,,
15,Mt. Bachelor,United States,100,,
16,Northstar California,United States,97,,
17,Schweitzer Mountain,United States,95,,
18,Heavenly,United States,94,,
19,Big White,Canada,103,,
20,Loveland,United States,93,,
21,Stratton,United States,92,,
22,Whistler,Canada,200,,
23,Bald Mountain-Sun Valley,United States,92,,
24,Winter Park Resort,United States,143,,
25,Alta,United States,115,,
26,Aspen Mountain,United States,103,,
27,Aspen Highlands,United States,134,,
28,Squaw Valley,United States,100,,
29,Vail,United States,234,,
30,Snowbasin,United States,48,,
31,Beaver Creek,United States,149,,
32,Breckenridge,United States,153,,
33,Whitefish Mountain,United States,91,,
34,Mt. Hood Meadows,United States,89,,
35,Sugar Bowl,United States,89,,
36,Mammoth Mountain,United States,88,,
37,Telluride,United States,86,,
38,Big Sky,United States,250,,
39,Snowmass,United States,236,,
40,Lake Louise,Canada,139,,
41,Powder Mountain,United States,135,,
42,Keystone,United States,135,,
43,Killington,United States,126,,
44,Copper Mountain,United States,126,,
45,Sugarloaf,United States,119,,
46,Silver Star,Canada,115,,
47,Taos,United States,113,,
48,Snowbird,United States,103,,
49,Sugarbush,United States,87,,
50,Marmot Basin-Jasper,Canada,86,,
51,Purgatory-Durango,United States,85,,
52,Sunday River,United States,84,,
53,Kimberley,Canada,80,,
54,Great Divide,United States,100,,
55,Mont Tremblant,Canada,78,,
56,Smugglers' Notch,United States,78,,
57,Jay Peak,United States,76,,
58,Angel Fire,United States,75,,
59,Bridger Bowl-Bozeman,United States,71,,
60,Brian Head,United States,71,,
61,Stowe,United States,71,,
62,Okemo,United States,70,,
63,Mont-Sainte-Anne-Beaupre,Canada,69,,
64,49 Degrees North,United States,68,,
65,Bear Valley,United States,67,,
66,Apex,Canada,67,,
67,Mt. Hood Skibowl,United States,65,,
68,Brighton,United States,66,,
69,Kirkwood,United States,65,,
70,Red Lodge,United States,65,,
71,Solitude,United States,64,,
72,Ayeska-Girdwood,United States,62,,
73,Mount Snow,United States,60,,
74,Gore Mountain,United States,57,,
75,Bretton Woods,United States,56,,
76,Revelstoke,Canada,55,,
77,Apache,United States,55,,
78,Eldora Mountain,United States,52,,
79,Donner Ski Ranch,United States,52,,
80,Cypress,Canada,50,,
81,Whiteface-Lake Placid,United States,35,,
82,The Summit at Snoqualmie,United States,27,,
83,Tamarack,United States,42,,
84,Summit Ski Area at Mt. Hood,United States,4,,
85,Bolton Valley,United States,30,,
86,Montage Mountain Resort,United States,9,,
87,Sandia Peak,United States,31,,
88,Crystal Mountain-Washinton,United States,50,,
89,Stevens Pass,United States,37,,
90,Loon Mountain,United States,50,,
91,Le Massif,Canada,39,,
92,Bluewood Ski Area,United States,24,,
93,Silver Mountain-Idaho,United States,80,,
94,Mt. Spokane,United States,52,,
95,Mt. Rose Ski Tahoe,United States,60,,
96,Mad River Glen,United States,60,,
97,Wolf Creek,United States,144,,
98,Grand Targhee,United States,95,,
99,White Pine,United States,29,,
100,Homewood Mountain,United States,67,,
